#ID	Nom	Frequence	Moyen	Utilisation
SAL	SALON DE PROVENCE	115.15 Mhz CH98Y	TACAN	A
SAL	SALON DE PROVENCE	110.9 Mhz	ILS	A
SAN	LYON SAINT EXUPERY	110.75 Mhz CH44Y	ILS--DME	A
SAU	SAUVETERRE DE GUYENNE	116.8 Mhz	VOR	E
SAV	SAVERNE	110.45 Mhz CH41Y	VOR--DME	AE
SB	SAINT BRIEUC ARMOR	353 Khz	L	A
SB	SAINT BRIEUC ARMOR	109.95 Mhz	ILS	A
SCL	SAINT CHRISTOL	348 Khz	NDB	A
SDI	SAINT DIZIER ROBINSON	114 Mhz CH87X	TACAN	E
SDI	SAINT DIZIER ROBINSON	108.9 Mhz	ILS	A
SE	STRASBOURG ENTZHEIM	412 Khz	L	A
SFC	SAINT FLOUR COLTINES	109.8 Mhz	VOR	A
SG	GRENOBLE SAINT GEOIRS	109.3 Mhz CH30X	ILS--DME	A
SN	SAINT YAN	430 Khz	L	A
SN	SAINT YAN	111.75 Mhz CH54Y	ILS--DME	A
SNE	SENETOSE	394.5 Khz	NDB	A
SR	SAUMUR SAINT FLORENT	372 Khz	L	A
STP	SAINT TROPEZ	116.5 Mhz CH112X	VOR--DME	E
STR	STRASBOURG ENTZHEIM	115.6 Mhz CH103X	VOR--DME	E
STZ	STRASBOURG ENTZHEIM	109.55 Mhz CH32Y	ILS--DME	A
SZA	SOLENZARA	349.5 Khz	NDB	A
SZA	SOLENZARA	114 Mhz CH87X	TACAN	E
SZA	SOLENZARA	109.1 Mhz	ILS	A
TA	VILLACOUBLAY VELIZY	286.5 Khz	L	A
TAN	LAHITTE	111.8 Mhz	VOR	E
TBN	TOULOUSE BLAGNAC	109.3 Mhz CH30X	ILS--DME	A
TBO	TARBES	113.9 Mhz CH86X	VOR--DME	AE
TBS	TOULOUSE BLAGNAC	110.7 Mhz CH44X	ILS--DME	A
TD	TOULOUSE BLAGNAC	108.35 Mhz CH20Y	ILS--DME	A
TFZ	TOULOUSE FRANCAZAL	109.1 Mhz	ILS	A
TG	TOULOUSE BLAGNAC	108.9 Mhz CH26X	ILS--DME	A
TH	VILLACOUBLAY VELIZY	302 Khz	L	A
TIS	THIERS	117.5 Mhz CH122X	VOR--DME	AE
TL	TARBES LOURDES PYRENEES	321 Khz	NDB	A
TLB	TOULOUSE BLAGNAC	368 Khz	L	A
TLF	TOULOUSE FRANCAZAL	331.5 Khz	L	A
TLN	HYERES LE PALYVESTRE	322 Khz	NDB	A
TLU	TOULOUSE FRANCAZAL	116 Mhz CH107X	TACAN	A
TNO	TOUSSUS LE NOBLE	110.15 Mhz CH38Y	ILS--DME	A
TOE	TOULOUSE BLAGNAC	415 Khz	NDB	A
TOU	TOULOUSE BLAGNAC	117.7 Mhz CH124X	VOR--DME	E
TR	VILLEFRANCHE TARARE	344 Khz	L	A
TRO	TROYES BARBEREY	116 Mhz	VOR	E
TS	TOULOUSE BLAGNAC	423 Khz	NDB	A
TS	TOURS VAL DE LOIRE	110.55 Mhz CH42Y	ILS--DME	A
